mal_id,english_name,score,genres,popularity
34631,"Ouch, Chou Chou",5.68,"Dementia, Drama",13251
34632,Such a Good Place to Die,5.71,Dementia,12867
34634,Do as the Fish Tells You,5.52,"Dementia, Drama",13449
34636,Welcome to the Ballroom,8.21,"Comedy, Drama, Romance, School, Shounen, Sports",676
34644,Brave Witches:Petersburg Grand Strategy,7.02,"Action, Ecchi, Magic, Military, Sci-Fi",5303
34661,An Encore and Continuance:Pandora's Box,6.31,"Action, Fantasy, Game",8282
34712,Children of the Whales,7.2,"Mystery, Super Power, Drama, Fantasy, Shoujo",899
34719,the FLY BanD!,5.14,Music,14239
34720,In Search of Axis,4.83,Dementia,13328
34725,Kaito x Ansa,5.03,Game,7410
